,transaction_date,owner,ticker,type,amount,representative,district,cap_gains_over_200_usd,transaction_year,transaction_month,transaction_day,amount_lower,amount_upper,sell_date,weight,gain
0,2020-06-09,joint,SO,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,False,2020,6,9,1001,15000,2020-08-31,175000.5,-0.12095687721276217
1,2020-06-17,joint,DUK,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,False,2020,6,17,1001,15000,2020-08-31,175000.5,-0.06808958135854198
2,2020-04-13,joint,CVI,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,False,2020,4,13,1001,15000,2020-11-10,32500.5,-0.27826086911452064
3,2020-09-16,joint,CWEN.A,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,False,2020,9,16,1001,15000,2020-12-07,75000.5,
4,2020-09-02,joint,LAND,purchase,"$15,001 - $50,000",Hon. Virginia Foxx,NC05,False,2020,9,2,15001,50000,2020-12-08,32500.5,-0.04457361762193047
5,2020-08-28,joint,WMT,purchase,"$50,001 - $100,000",Hon. Virginia Foxx,NC05,False,2020,8,28,50001,100000,2021-03-26,32500.5,-0.03684959413035834
6,2021-03-16,joint,CWEN.A,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,False,2021,3,16,1001,15000,2021-04-08,175000.5,
7,2020-03-10,self,SH,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,3,10,1001,15000,2020-04-29,500.5,-0.09314650127548975
8,2020-03-10,self,SH,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,3,10,1001,15000,2020-04-29,500.5,-0.09314650127548975
9,2020-03-10,self,SH,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,3,10,1001,15000,2020-04-29,500.5,-0.09314650127548975
10,2020-03-10,self,SH,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,3,10,1001,15000,2020-04-29,500.5,-0.09314650127548975
11,2020-03-10,self,SH,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,3,10,1001,15000,2020-04-29,500.5,-0.09314650127548975
12,2020-03-10,self,SH,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,3,10,1001,15000,2020-04-29,500.5,-0.09314650127548975
13,2020-03-10,self,SH,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,3,10,1001,15000,2020-04-29,500.5,-0.09314650127548975
14,2020-03-10,self,SH,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,3,10,1001,15000,2020-04-29,500.5,-0.09314650127548975
15,2020-03-10,self,SH,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,3,10,1001,15000,2020-04-29,500.5,-0.09314650127548975
16,2020-03-10,self,SH,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,3,10,1001,15000,2020-04-29,500.5,-0.09314650127548975
17,2020-03-10,self,SH,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,3,10,1001,15000,2020-04-29,500.5,-0.09314650127548975
18,2020-03-10,self,SH,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,3,10,1001,15000,2020-04-29,500.5,-0.09314650127548975
19,2020-03-10,self,SH,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,3,10,1001,15000,2020-04-29,500.5,-0.09314650127548975
20,2020-03-10,self,SH,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,3,10,1001,15000,2020-04-29,500.5,-0.09314650127548975
21,2020-03-10,self,SH,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,3,10,1001,15000,2020-04-29,500.5,-0.09314650127548975
22,2020-03-10,self,SH,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,3,10,1001,15000,2020-04-29,500.5,-0.09314650127548975
23,2020-03-10,self,SH,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,3,10,1001,15000,2020-04-29,500.5,-0.09314650127548975
24,2020-03-10,self,SH,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,3,10,1001,15000,2020-04-29,500.5,-0.09314650127548975
25,2020-02-03,self,DKNG,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,2,3,1001,15000,2021-01-19,500.5,2.5348035910733984
26,2020-02-03,self,DKNG,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,2,3,1001,15000,2021-01-19,500.5,2.5348035910733984
27,2020-02-03,self,DKNG,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,2,3,1001,15000,2021-01-19,500.5,2.5348035910733984
28,2020-02-03,self,DKNG,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False,2020,2,3,1001,15000,2021-01-19,500.5,2.5348035910733984
